Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
,2007,Multiplayer Online Battle Arena,0,0,0,0
,2011,Fighting Game,0,0,3,1
,2017,Fighting Game,0,0,0,0
,2012,Fighting Game,0,0,4,2
,2013,Fighting Game,0,0,37,7
,2002,Fighting Game,0,0,5,2
,2003,Fighting Game,0,0,3,1
,2008,Fighting Game,0,0,3,1
,2009,Fighting Game,0,0,10,2
,2008,Fighting Game,0,0,3,1
,1999,Fighting Game,0,0,7,4
,2013,Fighting Game,0,0,0,0
,2002,Fighting Game,0,0,6,3
,2008,Racing,0,0,0,0
,2014,Racing,0,0,0,0
,2019,Sports,0,0,0,0
,2008,Sports,0,0,0,0
,2014,Sports,0,0,3,1
,2012,Sports,0,0,0,0
,2018,Sports,0,0,0,0
,2016,Sports,0,0,0,0
,2012,Sports,0,0,0,0
,2018,Sports,0,0,0,0
,1996,Collectible Card Game,0,0,0,0
,2017,Collectible Card Game,0,0,0,0
,1981,Puzzle Game,0,0,0,0
,2017,Battle Royale,0,0,0,0
